india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
this summer activists organized an unofficial referendum on voting rights that drew participants more than a fifth of hong kong voters	in diesem sommer organisierten aktivisten ein inoffizielles referendum zu den wahlrechten an denen menschen teilnahmen mehr als ein funftel der wahler in hongkong
and in july tens of thousands turned out for one of the largest prodemocracy demonstrations in the regions history	im juli nahmen zehntausende an einer der groten demokratiedemonstrationen in der geschichte der region teil
us prom culture hits university life with freshers offered private jet entrances	die tradition der schulabschlussballe in den usa wird nun auf die universitaten ubertragen wo freshmen auftritte mit dem privatflugzeug angeboten werden
were excited to be answering this demand by launching the uks first luxurious travel service for the students of today	wir freuen uns auf diese nachfrage reagieren zu konnen und den den ersten luxuriosen reisedienst grobritanniens fur studenten von heute anzubieten
to make the maximum impact arriving at university the company also offers transport options including private jet rollsroyce phantom aston martin or mclaren	um einen besonders beeindruckenden auftritt an der universitat erzielen zu konnen bietet das unternehmen auch transportoptionen wie privatflugzeuge rollsroyce phantom aston marten oder mclaren an
mr stewart also claimed the service had a safety aspect	herr stewart gab auch an dass der service eine sicherheitssparte habe
the service is an ideal alternative for students who would usually have to haul their belongings across the country in a dangerously overloaded car	dieser service ist eine ideale alternative fur studenten die ansonsten ihre habseligkeiten in einem gefahrlich uberladenen auto durch das land kutschieren mussten
paired with our new vif options were looking forward to ensuring this year students reach university with minimum fuss and maximum luxury	zusammen mit unseren neuen vifoptionen freuen wir uns darauf in diesem jahr dafur zu sorgen dass die studenten die universitat mit einem minimum an aufwand und einem maximum an luxus erreichen
a spokesman for the company said that because the service has just launched there have been no bookings yet but added that students will be booking the service over the next few weeks	ein unternehmenssprecher sagte dass noch keine neuen buchungen vorlagen da der service gerade erst eingefuhrt worden sei fugte jedoch hinzu dass studenten den service in den nachsten wochen buchen wurden
the company also said that despite students facing tuition fees of a year it still expected to find a market for the service	das unternehmen teilte auerdem mit dass es trotz der studiengebuhren von pro jahr einen markt fur dieses angebot erwarte
students of today are quite different in terms of expectations and aspirations compared to students or years ago its more important than ever to make a great first impression and vif is just the way to do that	studenten heute unterscheiden sich in ihren erwartungen und anspruchen sehr von den studenten vor oder jahren es ist wichtiger denn je einen groartigen ersten eindruck zu machen und mit vif kann man genau das
however the national union of students criticised the service as out of touch	die nationale studentenunion kritisierte den service jedoch als abgehoben
megan dunn nus vice president for higher education said this scheme seems incredibly out of touch with the lives of the majority of students	megan dunn vizeprasidenten des nus fur hochschulbildung sagte dieses angebot scheint vollig getrennt vom leben der mehrzahl der studenten
many students starting university this month are facing a cost of living crisis with available financial support in loans and grants failing to keep pace with spiralling bills for basic essentials before they can even start thinking about forking out thousands of pounds for something as simple arriving at their halls of residence	viele studenten die diesen monat mit dem studium beginnen sehen sich einer krise der lebenshaltungskosten ausgesetzt da die verfugbaren finanzhilfen in form von krediten und stipendien nicht mit den stark steigenden rechnungen fur die einfachsten lebensgrundlagen schritt halten bevor sie uberhaupt daran denken konnen tausende von pfund fur so etwas einfaches wie die ankunft im studentenwohnheim auszugeben
feminists take on race and police conduct postferguson	feministinnen kritisieren rassenfrage und polizeiverhalten nach ferguson
the unarmed teenager was killed by a police officer in ferguson mo earlier this month	der unbewaffnete teenager wurde anfang dieses monats von einem polizeibeamten in ferguson mo getotet
attendees hold their hands up while chanting hands up dont shoot as they wait in line before the funeral	die teilnehmer hoben ihre hande in die luft und sangen hande hoch nicht schieen wahrend sie vor der beerdigung warteten
after two weeks of protests in ferguson mo over the shooting of unarmed teenager michael brown blogger miriam zoila perez noticed a shift in the online conversation among white feminists	nach zweiwochigen protesten in ferguson mo wegen der erschieung des unbewaffneten teenagers michael brown bemerkte die bloggerin miriam zoila perez eine anderung in den onlinediskussionen weier feministinnen
in her experience white feminist commenters prioritized gender above race when it came to pushing forward reproductive rights and income inequality	nach ihrer erfahrung setzen weie feministische kommentatoren das geschlecht vor die rasse wenn es darum geht reproduktionsrecht und einkommensungleichheiten anzusprechen
but as tensions rose in the midwest and drew nationwide coverage perez saw responses from white women that centered percent around race	wahrend die spannungen im mittleren westen jedoch anstiegen und im ganzen land beachtung erhielten sah perez dass die antworten von weien frauen sich zu um die rasse drehten
compared to the responses of black women soon after the shooting on august the personal essays with titles like thoughts on ferguson as a white woman and feminism is not just about womens oppression came relatively late	im vergleich mit den antworten schwarzer frauen kurz nach den schussen vom august kamen die personlichen essays mit titeln wie gedanken zu ferguson von einer weien frau und feminismus dreht sich nicht nur um die unterdruckung von frauen verhaltnismaig spat
but to perez it demonstrated a significant shift	aber fur perez bedeutete das eine wichtige veranderung
in feminism i dont think you get a lot of people talking about whiteness and privilege in such a high level way she said	ich glaube nicht dass man im feminismus viele menschen findet die uber das wei sein und privilegien auf so hochklassige art sprechen sagte sie
people felt called to voice something about what happened	die menschen fuhlten sich dazu gedrangt etwas zu den vorfallen auszudrucken
its very emblematic of the crisis we face and because the situation in ferguson is so racialized they have to call that out	es ist charakteristisch fur die krise in der wir uns befinden und weil die situation in ferguson so ethnisiert ist dass sie das ausdrucken mussen
for ohio state university english professor koritha mitchell ferguson brought to light issues that black american women face every day but that arent seen as womens issues in the cultural sphere	fur englischprofessorin koritha mitchell von der ohio state university brachte ferguson probleme ans licht denen schwarze amerikanerinnen jeden tag ausgesetzt sind die aber nicht als frauenthemen im kulturellen raum betrachtet werden
i can post something funny on facebook about whats going on with me and my partner and it will get likes from all over the place said mitchell	ich kann etwas lustiges auf facebook uber mich und meinen partner veroffentlichen und bekomme likes von uberall her sagte mitchell
when i post something about how people of color are under siege in their own country the silence is deafening	wenn ich etwas daruber poste wie farbige in ihrem eigenen land unter belagerung stehen ist das schweigen ohrenbetaubend
how is it safe for women to speak publicly about relationships but not about safety in the public sphere she asked	wie kann es fur frauen sicher sein offentlich uber eine beziehung zu sprechen aber nicht uber sicherheit im offentlichen raum fragte sie
for black women like mitchell who have studied race gender and sexuality in us history there is no dichotomy between issues regarding race and gender	fur schwarze frauen wie mitchell die rasse geschlecht und sexualitat in der geschichte der usa studiert haben gibt es keine dichotomie zwischen rassen und geschlechterproblemen
to her black women have not had the luxury of neatly separating the issues they live the combined reality every day	fur sie haben schwarze frauen nicht den luxus gehabt die themen sauber zu trennen sie leben jeden tag in der kombinierten realitat
while white women are now combining issues of race and gender in mainstream feminist spheres angela hattery women and gender studies professor at george mason university says their predecessors did the opposite	wahrend weie frauen nun die themen rasse und geschlecht in den feministischen mainstreamkreisen verbinden sagt angela hattery professorin fur frauen und geschlechterforschung an der george mason university dass ihre vorgangerinnen das gegenteil taten
between and at least black men were lynched and the justification was almost always the rape of a white woman said hattery	zwischen und wurden mindestens schwarze manner gelyncht und die begrundung war fast immer die vergewaltigung einer weien frau sagte hattery
you needed the white woman to be complicit in the narrative to justify the lynching	weie frauen mussten an der geschichte beteiligt sein um den lynchmord zu rechtfertigen
to hattery the breakdown between white and black women came when white suffragists like susan b anthony surveyed the landscape in the late and saw that the fight for voting rights would only work for one group at a time women or blacks	fur hattery kam die spaltung zwischen weien und schwarzen frauen an dem punkt an dem weie kampferinnen fur das frauenwahlrecht wie susan b anthony das land in den spaten jahren des jahrhunderts analysierten und feststellten dass der kampf fur das wahlrecht nur fur jeweils eine gruppe erfolgreich sein konnte frauen oder schwarze
they made the decision to put their eggs in the basket for votes for women and votes for blacks would come later said hattery	sie trafen die entscheidung sich fur das frauenwahlrecht einzusetzen und das wahlrecht fur schwarze sollte spater kommen sagte hattery
to look back at things like that gives us a powerful perspective on why women of color dont trust white women	wenn man sich an solche dinge erinnert wird einem mit macht bewusst warum farbige frauen weien frauen nicht trauen
we havent done a good job	wir haben unseren job nicht gut gemacht
we havent helped black women protect their husbands and sons ever	wir haben niemals schwarzen frauen dabei geholfen ihre ehemanner und sohne zu beschutzen
even after women won the right to vote in it took a decade for white women to organize against lynching as the association of southern woman for the prevention of lynching	auch nachdem frauen das wahlrecht erhielten dauerte es noch ein jahrzehnt bis sich weie frauen gegen das lynchen in der association of southern woman for the prevention of lynching organisierten
the group came nearly years after black women originally asked for assistance said mitchell	die gruppe entstand fast jahre nach der ursprunglichen bitte um hilfe von seiten schwarzer frauen sagt mitchell
to mitchell the upswell of white feminist responses to the issues raised by ferguson police conduct racial discrimination reflect the times white feminists have had to play catch up to issues black women have grappled with for generations	fur mitchell ist die flut weier feministischer reaktionen auf die durch ferguson aufgeworfenen fragen polizeiverhalten rassendiskriminierung ein spiegel der zeit in denen weie feministinnen fangen mit den problemen spielten mit denen schwarze frauen sich seit generationen auseinander setzten
wouldnt it be great if the activists who have those traditional feminist platforms took as seriously the right to raise a child as they did their right to have birth control posed mitchell	ware es nicht toll wenn die aktivistinnen die uber solche traditionellen feministischen plattformen verfugen das recht auf erziehung eines kindes so ernst nahmen wie sie das mit dem recht auf empfangniskontrolle tun fragte mitchell
second wave feminists who made careers out of fighting for reproductive rights and access to birth control are now figuring out what that means	feministinnen der zweiten generation die ihre karriere auf dem kampf um reproduktionsrechte und den zugang zu empfangnisverhutenden mitteln aufbauten versuchen nun zu verstehen was das bedeutet
noted white feminist activist gloria steinem took to facebook two weeks after michael browns shooting to post a pointed column by guardian columnist rebecca carroll that demanded more protest from white americans on the issue of racism	die bekannte weie feministische aktivistin gloria steinem ging zwei wochen nach der erschieung von michael brown auf facebook und veroffentlichte einen pointierten artikel von rebecca carroll kolumnistin des guardian in dem sie mehr proteste von weien amerikanern zum thema rassismus verlangt
i hope women who have a different but parallel reason for understanding a danger that is located in the body and racial opinions that are measurably different in public polls will lead the change steinem wrote	ich hoffe dass frauen die einen anderen aber parallelen grund dafur haben eine dem korper innewohnende gefahr zu verstehen und meinungen zur rasse die in offentlichen umfragen deutlich anders sind die veranderungen anfuhren werden schrieb steinem
although steinem has vouched for a more intersectional feminism that includes issues of race as well as gender her comments on race in america still puzzle some	obwohl steinem fur einen eher intersektionalen feminismus steht in dem rassen ebenso wie geschlechterthemen angesprochen werden sind einige von ihren kommentaren zum rassenthema in amerika doch verblufft
american enterprise institute scholar christina sommers author of who stole feminism told she the people that young men in the united states especially young men of color are far more vulnerable than their sisters but steinems remarks on ferguson counter the criticism she has launched in the past	christina sommers forscherin am american enterprise institute und autorin von who stole feminism sagte gegenuber she the people dass junge manner in den vereinigten staaten insbesondere junge farbige manner weit verletzlicher sind als ihre schwestern aber steinems bemerkungen zu ferguson stehen im gegensatz zu ihrer fruheren kritik
we now have hundreds of special programs for girls and young women but almost nothing for boys	es gibt jetzt hunderte von speziellen programmen fur madchen und junge frauen aber fast nichts fur jungen
but when the white house recently initiated a small program my brothers keeper to help vulnerable black and hispanic young men there was an angry reaction from many feminists including gloria steinem	aber als das weie haus kurzlich ein kleines programm my brothers keeper auflegte um verletzlichen jungen schwarzen und hispanischen mannern zu helfen gab es argerliche reaktionen von vielen feministinnen darunter gloria steinem
police relations with the black community is not the only issue pushing to the forefront of mainstream feminism	das verhaltnis der polizei zur der schwarzen community ist nicht das einzige problem dass sich in den vordergrund des mainstreamfeminismus drangt
after us border patrol apprehended nearly unaccompanied minors at the countrys southwest border this year immigration reform surfaced once again this time as a womens issue	nachdem die usgrenzpolizei fast unbegleitete minderjahrige an der sudwestgrenze des landes in diesem jahr aufgegriffen hat tritt auch das thema der einwanderungsreform wieder an die oberflache dieses mal als ein frauenthema
andrea mercado cochair of we belong together an organization mobilizing women for immigration reform said that in order to rebrand the issue as essential for women all she needed to do was share immigrant womens stories	andrea mercado covorsitzende von we belong together einer organisation die frauen fur die einwanderungsreform mobilisiert sagte dass fur eine neubetrachtung des themas als ein wesentliches frauenthema sie lediglich die geschichten der einwandererfrauen veroffentlichen musse
they speak for themselves mercado said	diese sprechen fur sich selbst sagte mercado
when the vast majority of employment visas are given to male immigrants the women who come with them are left in a position vulnerable to domestic violence and exploitation	wenn die groe mehrzahl der arbeitsvisa an mannliche einwanderer geht sind die frauen die sie begleiten in einer position in der sie fur hausliche gewalt und ausbeutung anfallig sind
these stories resonate with womens organizations she said	diese geschichten finden einen nachhall in den frauenorganisationen sagte sie
ipswich pig in residence house for sale	schweinehaus in ipswich steht zum verkauf
a picture for a house for sale in suffolk was removed by estate agents when it emerged it showed a large pig at rest in the living room	das bild eines zum verkauf stehenden hauses wurde von immobilienmaklern entfernt als deutlich wurde dass es ein groes schwein zeigte das es sich im wohnzimmer bequem gemacht hatte
on sale for the detached onebedroom property sits on a private road in ipswich	das freistehende haus verfugt uber ein schlafzimmer liegt an einer privaten strae in ipswich und wird fur angeboten
the particulars featured a picture of the living room of the house which included a pig with its head resting on a settee	zu den details gehorte eine abbildung des wohnzimmers des hauses zu dem auch ein schwein gehorte dass seinen kopf auf ein sofa gebettet hatte
estate agents connells said the pig in the photo was the home owners pet	immobilienmakler connells sagte das schwein auf dem foto sei das haustier des eigentumers
however the photo was put up in error and has since been removed a spokeswoman for the company said	das foto wurde jedoch irrtumlich veroffentlicht und wurde inzwischen entfernt sagte eine sprecherin des unternehmens
in the particulars for the property connells described the former meeting house as a unique one bedroom detached house	im expose des hauses beschrieb connells das fruhere versammlungshaus als ein einzigartiges einfamilienhaus mit einem schlafzimmer
although the agency has removed the image from its website it still appears in publicity material	obwohl der makler das bild von der webseite entfernt hat erscheint es noch auf werbematerial
the house sale has sparked interest on social media where some have enquired whether the pig is included in the sale	der hausverkauf sorgte in den sozialen medien fur interesse als einige fragten ob das schwein im kaufpreis enthalten sei
sw town of harvey has fresh millionaire after lotto win	die swstadt harvey beheimatet nach lottogewinn einen neuen millionar
a harvey lotto player is in the month	ein lottospieler aus harvey ist diesen monat dran
the search is on for a new millionaire in perths southwest with one lucky person taking home nearly million from saturday nights lotto draw	die suche nach einem neuen millionar im sudwesten von perth dauert an mit einem glucklichen gewinner der aus der lottoziehung am samstag fast million erhalt
a harvey newsagency struck gold in the division one draw for the second time in five years the last being million in november	eine zeitungskiosk in harvey zog zum zweiten mal in funf jahren den jackpot in der ziehung der ersten division nach million im november
however the lucky winner has yet to come forward	der gluckliche gewinner muss sich jedoch noch melden
owner of the store steve forward said the win was creating a buzz around the small town in perths south west	der ladenbesitzer steve forward sagte der gewinn sorge fur gesprachsstoff in der kleinen stadt im sudwesten von perth
its the talk of the town and everyone is pretty excited	die stadt redet von nichts anderem und alle sind ziemlich aufgeregt
we thought a win like this might be close	wir dachten dass ein solcher gewinn eintreten konnte
eight wa winners have celebrated division one wins last month capping off a lucky few weeks for the states players	acht wagewinner haben im vergangenen monat gewinne in der ersten division gefeiert ein gebuhrender abschluss fur ein paar gluckliche wochen fur die spieler im staat
last week a canning vale player became one of five august millionaires following a belmont couples massive million win only a few weeks prior	in der vergangenen woche wurde ein spieler aus canning vale einer der funf millionare im august nachdem ein ehepaar aus belmont nur wenige wochen zuvor den megagewinn von millionen erzielt hatte
the winning couple had played the game for twenty years and said the win gifted them the opportunity to travel the world and buy a new house	das siegerpaar hatte seit zwanzig jahren gespielt und sagte der gewinn erlaube ihnen die moglichkeit einer weltreise und den kauf eines neuen hauses
the harvey millionaire brings wa up to division one winners for the year totalling in nearly million	der millionar aus harvey ist der gewinner der ersten division in der wa in diesem jahr mit insgesamt fast millionen
leonidas begged in the gladiatorial arena	leonidas bat in die gladiatorenarena
it was not only the gladiators that stood ankle deep in the mud at the park during rheinbachs first roman day	nicht nur die gladiatoren standen knocheltief im matsch beim ersten rheinbacher romertag im freizeitpark
the appeal of the event was so great that it attracted more than visitors yesterday who braved the rain and autumn chill and who were completely taken in by the historical show	doch die anziehungskraft der veranstaltung war stark genug um gestern weit uber besucher anzulocken die den regenschauern und der herbstlichen kalte trotzten und sich vom historischen spektakel restlos begeistern lieen
there was a colorful start with representations performances games exhibition pieces and information on roman times and their significance to the rhineland	es gab einen bunten reigen von darstellungen auffuhrungen spielen ausstellungsstucken und informationen uber die zeit der romer und ihre bedeutung fur das rheinland
the main attraction of the day was undoubtedly the martial arts group from the gladiator school amor mortis which every time it stopped raining seized the opportunity to demonstrate their robust martial arts in the soft sand covered arena	hauptattraktion des tages war zweifellos die martialische kampfertruppe von der gladiatorenschule amor mortis die jede regenpause dazu nutzte in der mit weichem sand praparierten arena ihre robuste kampfeskunst zu demonstrieren
the owner of gladiators leonidas proved himself to be a humorous and expert presenter who sent men one after one into the ring for a heroic duel in a variety of gladiatorial genres	gladiatorenbesitzer leonidas erwies sich als humorvoller und sachkundiger prasentator und schickte nacheinander seine manner in den ring zum heldenhaften zweikampf in verschiedenen gladiatorengattungen
at first the provocateurs were lined up with a rectangular shield and short sword as well a cuisse on the left leg and a vembrace on the right arm	zuerst waren die provocatoren an der reihe mit rechteckschild und kurzschwert sowie beinschiene am linken bein und armschiene am rechten arm
then there were the essedarii wearing a breastplate and carrying a short sword and a spear as well as an iron gladiator helmet a cuisse and an arm guard	es folgten die essedarii mit brustschild kurzschwert und wurflanze sowie eisernem gladiatorenhelm bein und armschutz
what was particular impressive was the performance of the retiarius who went up against the secutor with a castnet trident and dagger and who after a short fight knocked the guys to the ground	besonders eindrucksvoll war der auftritt des retiarius der mit wurfnetz dreizack und dolch gegen den secutor antrat und nach kurzem kampf den burschen zu boden stie
the swords clashed against one another the shields clanked and the spears flew zooming through the arena so much so that you feared for the safety of the gladiators	da krachten die schwerter metallisch aneinander die schilde schepperten und die wurflanzen flogen surrend durch die arena dass einem angst und bange werden konnte um die gesundheit der gladiatoren
however the gigantic summa rudis a muscular referee constantly kept a keen eye on them	doch auf die hatte der imposante summa rudis der muskulose schiedsrichter ein stets aufmerksames auge
we wanted to revive the roman everyday life and enable the culture of roman times to be experienced lorenz euskirchen the chairman of the events organization freundeskreis romerkanal explained as the intention behind the spectacle	wir wollten den romischen alltag wieder aufleben lassen und die kultur der romerzeit erlebbar machen erlauterte lorenz euskirchen vorsitzender des veranstalters freundeskreis romerkanal die intention hinter dem spektakel
claus wehage the deputy mayor announced in his welcome speech that after two years of preparation the park was transformed for one day into an oppidum romanum a roman city	nach zwei jahren vorbereitungszeit wurde aus dem freizeitpark fur einen tag eine oppidum romanum eine romische stadt wie vizeburgermeister claus wehage in seinem gruwort feststellte
in the end the romans not only brought war and conquest to our region but also the roman culture and numerous buildings which we can still admire today	schlielich haben die romer nicht nur krieg und eroberung in unserer region gebracht sondern auch die romische kultur und zahlreiche bauwerke die wir noch heute bewundern
some of these remains could also be marveled at during the roman day such as aduaduktmarmor from the elevenmeter high and meter long roman canal bridge which is the only one in luftelberg	uberreste davon waren auch beim romertag zu bestaunen etwa aquaduktmarmor von der elf meter hohen und meter langen romerkanalbrucke die dereinst bei luftelberg stand
the frontinus organization compared both then and now the water and energy supply and the managing director petra fricke said we still derive benefit today from the knowledge of back then	die frontinusgesellschaft stellte die wasser und energieversorgung einst und jetzt gegenuber und geschaftsfuhrerin petra fricke wusste wir ziehen heute noch nutzen aus dem wissen von damals
this was confirmed by the surveyor ralph heiliger from ingenieurteamzwei in rheinback who introduced the instruments used by the romans for surveying such as the chorobat groma and dioptra	das bestatigt auch diplomvermessungsingenieur ralph heiliger vom ingenieurteamzwei aus rheinbach der vermessungsinstrumente der romer wie chorobat groma oder dioptra vorstellte
the romervilla in blankenheim presented sketches and models of the excavations of as well as bricks made from the original hypocaust forcedair heating which was once used to warm up romervilla	die romervilla in blankenheim prasentierte skizzen und modelle von den ausgrabungen anno sowie ziegelsteine aus der originalhypokauste der warmluftheizung die einst die romervilla erwarmte
the footprints of a wolf and fox from two thousand years ago were also impressive and were left behind after they trod in clay before it was burnt	beeindruckend auch die fuabdrucke die von wolf und fuchs vor zwei jahrtausenden in den futritten aus ton hinterlassen worden waren bevor man diese brannte
in the office of archaeological monument conservation at the state association in rheinland excavated the remains of a roman villa in an industrial estate in north rheinbach	hatte das amt fur bodendenkmalpflege beim landesverband rheinland die uberreste einer romischen villa im gewerbepark nord in rheinbach ausgegraben
the enclosing walls of an agricultural building were discovered and contained a kiln for drying crops and malting	man habe umfassungsmauern eines wirtschaftsgebaudes mit einer darre zum trocknen von getreide und zum malzen gefunden
the building probably belonged to a villa rustica an agricultural manor archaeologist dr jennifer morscheiser explained	das gebaude habe wahrscheinlich zu einer villa rustica einem landwirtschaftlichen gut gehort erlauterte die archaologin dr jennifer morscheiser
a range of finds from the excavation were presented in a glass cabinet among which were a large plate several fine glass jars and parts of a small necklace	eine reihe von fundstucken aus diesen ausgrabungen stellte sie in einer glasvitrine vor darunter einen groen teller mehrere feine glasgefae sowie teile einer zierlichen halskette
morscheiser presumed that the villa was there from between the first and fourth century anno domini until the invasion of the germanic people in the former roman rheinland	die villa habe wohl vom ersten bis zum vierten jahrhundert nach christus existiert bis zum einfall der germanen im damals romischen rheinland vermutet morscheiser
the children also kept themselves busy playing the roman windmills game similar to todays mill game or they wrote as did the roman pupils at the time their names with metal pens on wax tablets	bei ihr beschaftigten sich die kinder zudem mit dem romischen windmuhlenspiel ahnlich dem heutigen muhlespiel oder sie schrieben wie einst die romischen schuler ihre namen mit metallgriffeln auf wachstafeln
at the roman thermal bath stand from zulpich the children were allowed to lay mosaics themselves at the rheinbach glass museum stand they made glass mosaics and at the eifel nettersheim nature center stand they got to use a heavy wheat mill made of stone so they could grind the flour needed for a pita bread or muesli	am stand der romerthermen zulpich durften die kinder mosaiken selber legen am stand des glasmuseums rheinbach glasmosaiken basteln und am stand des naturzentrums eifel nettersheim eine schwere weizenmuhle aus stein bedienen um das mehl fur ein fladenbrot oder ein musli zu mahlen
the visitors rode through the park in a roman carriage which had been reconstructed to be true to the original and pulled along by two cold blood horses and also passed by the impressive city gym stand where the results of their roman project week were revealed	mit dem von zwei kaltblutern gezogenen originalgetreu nachgebauten romischen reisewagen fuhren die besucher durch den freizeitpark und kamen dabei auch am beeindruckenden stand des stadtischen gymnasiums vorbei das hier die ergebnisse ihrer romerprojektwochen prasentierte
from to september the community of wachtberg will also participate in a roman week in what is being called roman year throughout the rhineland the event will remember the death of kaiser augustus years ago	mit einer romerwoche vom bis september wird sich auch die gemeinde wachtberg in das rheinlandweit ausgerufene romerjahr das an den tod von kaiser augustus vor jahren erinnern soll einbringen
together with the clubs dedicated to local regional and historical traditions and characteristics as well as the wachtberg hiking club the partnership association and the oberbachem amateur dramatics club hiking recitals cooking evening and guidance for school classes among other things will be offered and the roman history of wachtberg shall be remembered	gemeinsam mit den heimat und geschichtsvereinen sowie dem wachtberger wanderverein dem partnerschaftsverein und dem laienspielkreis oberbachem werden unter anderem thematische wanderungen ein vortrag kochabende sowie fuhrungen fur schulklassen angeboten und an die romische vergangenheit wachtbergs erinnern
the roman legionnaire will for example talk about his drafty work in wachtberg plants will be presented as living monuments of roman times and a humorous lesson on the matter of international understanding between a germanic group from wachtberg and roman invaders will be showcased	dabei wird zum beispiel ein romischer legionar von seiner arbeit auf dem zugigen wachtberg erzahlen pflanzen als lebende denkmale aus der romerzeit vorgestellt und eine witzige lehrstunde in sachen volkerverstandigung zwischen einer gruppe wachtberger germanen und zugezogenen romern dargeboten
adendorf elementary school has devoted itself to a weeklong romanthemed project	die adendorfer grundschule widmet sich im rahmen einer projektwoche dem romerthema
the roman week should once again enable us to experience the numerous and common yet at first glance no longer visible traces of the romans in wachtberg	mit der romerwoche sollen die zahlreichen haufig aber nicht mehr auf den ersten blick sichtbaren spuren der romer in wachtberg wieder erfahrbar gemacht werden
wachtberg town hall will give a small presentation on the sanctuary in berkum which was found in	im wachtberger rathaus wird eine kleine prasentation an den fund des berkumer matronenheiligtums im jahr erinnern
ebola the epidemic is putting strain on west africas economy	ebola die epidemie belastet westafrikas wirtschaft
the ebola epidemic in west africa is also a huge hit for the economy	die ebolaepidemie in westafrika ist auch ein schwerer schlag fur die wirtschaft
markets have been abandoned and international companies are keeping their distance	markte sind verwaist und internationale unternehmen gehen auf distanz
the devastating ebola epidemic has dealt the economy in west africa a heavy blow	die verheerende ebolaepidemie versetzt der wirtschaft westafrikas einen schweren schlag
crops are rotting in the fields mines have been deserted and the markets have been abandoned the virus has cost the region dearly	die ernte verrottet auf den feldern die minen sind verlassen und die markte verwaist das virus hat der region schwer zugesetzt
even some international companies are keeping their distance	auch einige internationale unternehmen gehen bereits auf distanz
the ebola epidemic is not only a medical crisis but also an economic one the head of the african development bank donald kaberuka concluded	die ebolaepidemie ist nicht nur eine medizinische krise sondern auch eine wirtschaftliche urteilt der chef der afrikanischen entwicklungsbank donald kaberuka
liberia is the most affected country	liberia ist am hartesten betroffen
it is a total catastrophe we are losing a lot of money alhaji bamogo said who sells clothes in the second largest market in liberias capital city monrovia	es ist eine totale katastrophe wir verlieren sehr viel geld sagt alhaji bamogo der auf dem zweitgroten markt in liberias hauptstadt monrovia kleidung verkauft
the only people to come to the market are those who want to buy food or disinfectant against ebola	auf den markt kommt nur wer lebensmittel oder etwas zur desinfektion gegen ebola kaufen will
liberia is the country most affected by the virus here alone more than people have fallen victim to the fever	liberia ist am hartesten von dem virus getroffen alleine hier fielen dem fieber mehr als menschen zum opfer
the health authorities recently explained that the disease has reached all corners of the country	kurzlich erklarten die gesundheitsbehorden die krankheit sei in jeden winkel des landes vorgedrungen
the virus has even spread to guinea sierra leone and nigeria	auch in guinea sierra leone und nigeria hat sich das virus ausgebreitet
in total more than people have already died and thousands more have been infected	insgesamt starben bereits mehr als menschen tausende weitere steckten sich an
foreign businesses are pulling their employees out	auslandische firmen ziehen mitarbeiter ab
all over countries rich with resources companies are suspending operations	uberall in den ressourcenreichen landern setzen firmen ihren betrieb aus
foreign companies such as the steel group arcelor mittal are withdrawing their employees and several international airlines are no longer flying to affected regions	auslandische unternehmen wie der stahlkonzern arcelor mittal ziehen ihre angestellten ab mehrere internationale fluggesellschaften fliegen die betroffenen regionen nicht mehr an
even local traders and farmers are reacting only a few business people are still leaving their home towns to replenish their supplies	auch die einheimischen handler und bauern reagieren nur wenige kaufleute verlassen noch ihre heimatorte um nachschub zu besorgen
in some areas of sierra leone and liberia where they have been put under quarantine cacao and coffee beans to name a few and which are important for export are rotting in the fields	in einigen gebieten in sierra leone und liberia die unter quarantane stehen verrotten unter anderem die fur den export wichtigen kakao und kaffeebohnen auf den feldern
the farmers do not dare leave their homes for the crops	die bauern wagen es nicht fur die ernte ihr zuhause zu verlassen
food suppliers are scarce	lebensmittel werden knapp
people are traveling less and less phillipe de vreyer a parisian expert on the economy of west africa said	die menschen werden immer weniger reisen sagt phillipe de vreyer pariser experte fur die wirtschaft westafrikas
for example a man who normally goes to the market and sells his vegetables is choosing to stay at home	der mann zum beispiel der normalerweise auf den markt geht und sein gemuse verkauft bleibt lieber daheim
the population is therefore facing the consequences of the epidemic head on and feeling the pressure food suppliers are scarce	die bevolkerung bekommt deshalb die folgen der epidemie direkt und drangend zu spuren lebensmittel werden knapp
the supply of staple foods such as rice is dwindling in the markets	auf den markten schwindet der vorrat an grundnahrungsmitteln wie reis
at the same time the image of the region which is heavily reliant on international companies is under threat and this has farreaching consequences	zugleich droht der stark von internationalen firmen abhangigen region ein imageschaden mit weit reichenden folgen
the biggest danger is that international companies are avoiding the region for what is essentially a long time phillippe hugon from the french think tank iris said	die grote gefahr sei dass internationale firmen die gegend grundsatzlich uber lange zeit meiden sagt philippe hugon vom franzosischen think tank iris
what is crucial is how wide and how long the virus will continue to spread	entscheidend sei wie weit und wie lange sich das virus noch ausbreiten werde
investors may get the impression that it is dangerous to live in guinea sierra leone and liberia and therefore also to invest hugon warned	bei investoren konne der eindruck entstehen dass es gefahrlich ist in guinea sierra leone und liberia zu leben und somit auch zu investieren warnt hugon
the disease is also burdening the already strained national budgets of the states	die krankheit belastet auch die strapazierten staatshaushalte der staaten
the disease is also burdening the already strained national budgets of the affected states	die krankheit belastet auch die ohnehin strapazierten staatshaushalte der betroffenen staaten
